Country Name,2018 Healthcare spending per capita
Afghanistan,2.57800722
Africa Eastern and Southern,41.7305148
Africa Western and Central,13.67221916
Albania,148.4365692
Algeria,168.4496613
American Samoa,..
Andorra,1916.984497
Angola,36.73722076
Antigua and Barbuda,485.8211975
Arab World,223.5253662
Argentina,692.6174316
Armenia,52.11013412
Aruba,..
Australia,3747.028809
Austria,3892.831299
Azerbaijan,43.97441864
"Bahamas, The",1011.082031
Bahrain,584.8989258
Bangladesh,7.11578894
Barbados,521.4302979
Belarus,250.8408051
Belgium,3723.067627
Belize,196.1819611
Benin,6.09126854
Bermuda,..
Bhutan,81.72798157
Bolivia,159.1311646
Bosnia and Herzegovina,376.8726807
Botswana,374.1790772
Brazil,353.5392151
British Virgin Islands,..
Brunei Darussalam,726.069397
Bulgaria,397.6374817
Burkina Faso,17.10899734
Burundi,5.90400934
Cabo Verde,117.2347031
Cambodia,19.26422501
Cameroon,3.22656012
Canada,3670.843262
Caribbean small states,339.3172662
Cayman Islands,..
Central African Republic,3.36062503
Central Europe and the Baltics,781.2751145
Chad,4.97096872
Channel Islands,..
Chile,740.006958
China,282.6797791
Colombia,367.4957886
Comoros,6.04044008
"Congo, Dem. Rep.",2.79114175
"Congo, Rep.",17.46465302
Costa Rica,658.5482178
Cote d'Ivoire,20.71104622
Croatia,843.9278565
Cuba,877.4390259
Curacao,..
Cyprus,836.5236816
Czech Republic,1460.208374
Denmark,5214.660156
Djibouti,35.12189484
Dominica,318.1081238
Dominican Republic,204.4960175
Early-demographic dividend,85.70351594
East Asia & Pacific,480.4612572
East Asia & Pacific (excluding high income),215.6028682
East Asia & Pacific (IDA & IBRD countries),215.6128659
Ecuador,268.4172363
"Egypt, Arab Rep.",36.07154846
El Salvador,184.2216339
Equatorial Guinea,62.43690491
Eritrea,3.70365119
Estonia,1142.584351
Eswatini,89.12561035
Ethiopia,5.66122723
Euro area,2995.231832
Europe & Central Asia,1701.838278
Europe & Central Asia (excluding high income),263.0755998
Europe & Central Asia (IDA & IBRD countries),304.2068059
European Union,2623.471916
Faroe Islands,..
Fiji,146.5606842
Finland,3547.373047
Fragile and conflict affected situations,22.04267615
France,3441.166504
French Polynesia,..
Gabon,127.9610519
"Gambia, The",6.77834558
Georgia,123.4146042
Germany,4251.028809
Ghana,30.30209732
Gibraltar,..
Greece,813.7418823
Greenland,..
Grenada,181.2556763
Guam,..
Guatemala,93.48612976
Guinea,6.29944324
Guinea-Bissau,4.88268852
Guyana,182.8688355
Haiti,7.69670486
Heavily indebted poor countries (HIPC),13.94197079
High income,3486.443596
Honduras,70.95574188
"Hong Kong SAR, China",..
Hungary,747.5319214
IBRD only,183.1578505
Iceland,5379.646484
IDA & IBRD total,141.323669
IDA blend,18.42586594
IDA only,12.09930377
IDA total,14.31025241
India,19.63145256
Indonesia,55.08996582
"Iran, Islamic Rep.",222.4209595
Iraq,115.2330093
Ireland,4055.941162
Isle of Man,..
Israel,2150.538818
Italy,2208.520264
Jamaica,208.4400177
Japan,3587.73877
Jordan,162.3544159
Kazakhstan,167.8211365
Kenya,37.2430191
Kiribati,150.3880615
"Korea, Dem. People's Rep.",..
"Korea, Rep.",1486.450073
Kosovo,..
Kuwait,1506.605835
Kyrgyz Republic,36.72362518
Lao PDR,22.10001755
Late-demographic dividend,308.6007223
Latin America & Caribbean,341.5261056
Latin America & Caribbean (excluding high income),333.6456661
Latin America & the Caribbean (IDA & IBRD countries),331.3035179
Latvia,657.7670288
Least developed countries: UN classification,10.18989759
Lebanon,343.3811646
Lesotho,72.45595551
Liberia,11.42816257
Libya,..
Liechtenstein,..
Lithuania,822.8288574
Low & middle income,136.4553611
Low income,7.188246566
Lower middle income,35.35362586
Luxembourg,5288.111816
"Macao SAR, China",..
Madagascar,7.87874842
Malawi,10.25176048
Malaysia,218.6548004
Maldives,687.5372925
Mali,9.86327934
Malta,1747.868408
Marshall Islands,279.2547302
Mauritania,19.54978752
Mauritius,281.9010925
Mexico,260.1742859
"Micronesia, Fed. Sts.",109.4553986
Middle East & North Africa,293.918278
Middle East & North Africa (excluding high income),127.1775613
Middle East & North Africa (IDA & IBRD countries),127.1775613
Middle income,148.7894201
Moldova,120.3836746
Monaco,2544.510254
Mongolia,91.00946808
Montenegro,438.997467
Morocco,70.24705505
Mozambique,8.52427864
Myanmar,8.77954292
Namibia,217.1618652
Nauru,799.3206787
Nepal,14.48920441
Netherlands,3444.80835
New Caledonia,..
New Zealand,3021.2771
Nicaragua,103.9360046
Niger,10.07909298
Nigeria,12.45123196
North America,5184.168082
North Macedonia,228.7698669
Northern Mariana Islands,..
Norway,7029.852539
Not classified,..
OECD members,3006.165242
Oman,594.5289307
Other small states,436.96357
Pacific island small states,132.3152853
Pakistan,15.23525143
Palau,1015.281555
Panama,723.1566773
Papua New Guinea,44.66556931
Paraguay,175.2063751
Peru,231.0983734
Philippines,44.58437729
Poland,695.748169
Portugal,1361.255127
Post-demographic dividend,3583.124382
Pre-demographic dividend,17.27299487
Puerto Rico,..
Qatar,1281.521362
Romania,547.6779175
Russian Federation,362.0960083
Rwanda,18.35476875
Samoa,164.1419067
San Marino,2907.131836
Sao Tome and Principe,55.12792206
Saudi Arabia,926.9506836
Senegal,14.00303841
Serbia,366.3521118
Seychelles,620.3916016
Sierra Leone,8.33168507
Singapore,1421.570923
Sint Maarten (Dutch part),..
Slovak Republic,1030.038208
Slovenia,1570.967896
Small states,400.8182655
Solomon Islands,75.07428741
Somalia,..
South Africa,284.2776489
South Asia,18.3290925
South Asia (IDA & IBRD),18.3290925
South Sudan,2.88673401
Spain,1926.46106
Sri Lanka,64.70568085
St. Kitts and Nevis,461.7450256
St. Lucia,219.591507
St. Martin (French part),..
St. Vincent and the Grenadines,224.6751709
Sub-Saharan Africa,30.24583031
Sub-Saharan Africa (excluding high income),30.19212178
Sub-Saharan Africa (IDA & IBRD countries),30.24583031
Sudan,13.74672318
Suriname,312.5957642
Sweden,5089.962891
Switzerland,3081.69751
Syrian Arab Republic,..
Tajikistan,16.18490219
Tanzania,15.81463623
Thailand,210.4487305
Timor-Leste,56.8204689
Togo,7.12986135
Tonga,149.8496246
Trinidad and Tobago,553.7059937
Tunisia,144.3083038
Turkey,301.6868286
Turkmenistan,83.38689423
Turks and Caicos Islands,..
Tuvalu,553.0988159
Uganda,6.82905865
Ukraine,109.4968643
United Arab Emirates,937.3599854
United Kingdom,3392.085938
United States,5355.787109
Upper middle income,296.9034922
Uruguay,1160.208984
Uzbekistan,31.40143394
Vanuatu,66.89446259
"Venezuela, RB",122.9424133
Vietnam,69.10861206
Virgin Islands (U.S.),..
West Bank and Gaza,..
World,661.6978665
"Yemen, Rep.",..
Zambia,29.70040321
Zimbabwe,39.2492218
